"%s was notified by SMS (Number: %s; Text: %s)","%s توسط پیامک آگاه شد (شماره تلفن: %s; متن: %s)"
"Password is not set. Check it in the configuration, please.","کلمه عبور تنظیم نشده است. لطفا، تنظیمات مربوطه را کنترل کنید."
"Password is not set.","کلمه عبور تنظیم نشده است."
"Username is not set. Check it in the configuration, please.","نام کاربری تنظیم نشده است. لطفا، تنظیمات مربوطه را کنترل کنید."
"Username is not set.","نام کاربری تنظیم نشده است."
"Send Number is not set.","شماره ارسال تنظیم نشده است."
"Password","کلمه عبور"
"Add Order Comments","افزودن نظرات سفارش"
"Add filter","افزودن فیلتر"
"Add local country code to numbers with digits less than or equal to","افزودن کد کشور به شماره‌هایی که کمتر یا برابر با مقدار روبرو باشند"
"Add number to list","افزودن شماره به لیست"
"Administrator","مدیریت"
"All","همه"
"Allow send message to","اجازه‌ی ارسال پیام به"
"Amount","مبلغ"
"Append customer email to message","افزودن ایمیل مشتری به پیام"
"Append customer firstname to message","افزودن نام مشتری به پیام"
"Append customer lastname to message","افزودن نام خانوادگی مشتری به پیام"
"Append invoice increment id to message","افزودن شماره فاکتور به پیام"
"Append order increment id to message","افزودن شماره سفارش به پیام"
"Append shipment increment id to message","افزودن آدرس ارسال به پیام"
"Append total amount to message","افزودن مبلغ کل به پیام"
"Billing Address","آدرس صورتحساب"
"Build filter","ایجاد فیلتر"
"Change this <a href=""%s"">here</a>.","تعویض از <a href=""%s"">اینجا</a>."
"Close","بستن"
"Comment Text","متن نظر"
"Comment","نظر"
"Company","شرکت"
"Connection failed.","اتصال برقرار نشد."
"Could not send the HTTP request","امکان ارسال اطلاعات نیست"
"Countries","کشورها"
"Countries come from customer's address. Local country you choose above.","کشورها از آدرس مشتریان برگزیده می‌شوند. کشور محلی را شما از بالا انتخاب کرده‌اید."
"Country Filters","فیلتر کشورها"
"Customer Email","ایمیل مشتری"
"Customer Firstname","نام مشتری"
"Customer Lastname","نام خانوادگی مشتری"
"Customer","مشتری"
"Customer's phone numbers primarily get from","شماره موبایل مشتریان گرفته شود از"
"Date","تاریخ"
"Download Id is not set.","شناسه دانلود تنظیم نشده است."
"ERROR","خطا"
"Estimated credit exhaustion","برآورد هزینه اعتبار"
"Enter phone number or customer's name.","شماره موبایل یا نام مشتری را وارد کنید."
"Everywhere","همه جا"
"Exclude numbers","شماره‌های غیرمجاز"
"Exhaustion","فرسودگی"
"FAIL","رد"
"From number is not set. Check it in the configuration, please.","شماره ارسال تنظیم نشده است.  لطفا، تنظیمات مربوطه را کنترل کنید."
"From Number","شماره ارسال"
"Gateway Credentials","اطلاعات سامانه"
"Gateway","نام سامانه"
"General Settings","تنظیمات عمومی"
"Here you can add the exceptions from "Exclude numbers" field.","در اینجا می‌توانید برای لیست "شماره‌های غیرمجاز"، استثنا قائل شوید."
"Here you can select number patterns/range which you do not wish send SMS to. If you want to send SMS to any number leave this table empty.","در این قسمت می‌توانید الگو/بازه‌ شماره‌هایی که نمی‌خواهید به آن‌(ها) پیامک ارسال شود را انتخاب کنید. اگر می‌خواهید به تمامی شماره‌ها پیامک ارسال گردد، این قسمت را نادیده بگیرید."
"If you choose billing address then SMS will be sent to numbers from a billing address and if phone number was not present there then would be used phone numbers from a shipping address and vice versa. If customer's phone number was not found then SMS would not be sent.","اگر شما آدرس صورتحساب را انتخاب کنید، پیام به تلفنی که در آدرس صورتحساب وجود دارد ارسال خواهد شد اگر شماره تلفنی پیدا نشد آنگاه از شماره تلفن داخل آدرس ارسال استفاده خواهد کرد و برعکس. اگر شماره تلفنی برای مشتری پیدا نشد، پیامی ارسال نخواهد شد."
"Incorrect recipient phone number format.","فرمت اشتباه برای شماره موبایل دریافت کننده."
"Include numbers","شماره‌های مجاز"
"Invoice Nr.","شماره فاکتور"
"It is forbidden to send SMS to country '%s'. If you think that it is bad then check your country filter definitions in the configuration of SMSNotifyForMagento, please.","ارسال پیام به کشور '%s' ممنوع شده است. اگر فکر می‌کنید اشتباه است، لطفا تنظیمات تعیین فیلتر کشورها برای ارسال پیامک مجنتو فارسی را بررسی کنید."
